Open;High;Low;Close;Adj Close;Volume
14,68;14,71;14,32;14,43;14,295011;32985300
14,83;14,98;14,46;14,63;14,493139;104398900
14,74;14,76;14,29;14,58;14,443606;39589600
14,45;14,49;14,23;14,4;14,26529;29054300
14,73;14,87;14,63;14,82;14,681361;26408400
14,81;15,02;14,81;14,92;14,780426;24175400
14,91;14,91;14,56;14,63;14,493139;21952600
14,83;14,85;14,58;14,64;14,503046;14207900
14,32;14,69;14,31;14,56;14,423794;20754800
14,77;14,94;14,73;14,89;14,750707;16214300
14,77;14,93;14,37;14,4;14,26529;21453600
14,17;14,18;13,89;14,03;13,898751;22637200
13,14;13,28;12,71;13,08;12,957639;38318000
13,2;13,3;12,62;12,82;12,70007;26389700
12,84;13,1;12,45;12,55;12,432597;41263500
12;12,55;11,71;12,08;11,966993;41795900
11,56;12,11;11,51;12,1;11,986807;46960400
12,2;12,57;12,02;12,49;12,373158;29931200
12,51;12,91;12;12,16;12,046246;37360900
12,45;12,45;12,1;12,33;12,214655;23901800
12,01;12,05;11,31;11,74;11,630174;42527900
10,7;10,87;10,27;10,52;10,421588;52078200
7,55;8,26;7,04;7,26;7,192084;95745000
8,5;8,57;7,35;8,01;7,935068;54755700
7,52;7,77;6,64;6,85;6,785919;55715500
5,75;5,89;4,83;5,45;5,399016;86571700
6,69;6,74;5,57;6,58;6,518445;59809100
5,4;5,96;5,13;5,25;5,200887;35275300
5,41;5,66;5,14;5,4;5,349484;51896200
4,56;4,82;4,01;4,31;4,269681;49017000
4,4;5,12;4,1;5,06;5,012664;56339600
5,34;5,39;4,72;4,85;4,804629;38227800
4,61;4,89;4,45;4,46;4,418277;35837600
5,06;5,48;4,92;5,43;5,379203;40989000
5,42;6,05;5,21;5,8;5,745742;48862700
5,97;6,16;5,57;5,81;5,755649;41292300
5,35;5,37;5,16;5,19;5,141448;35197200
5,15;5,3;4,88;5,22;5,171167;25862600
5,32;5,73;5,32;5,5;5,448548;37015700
5,18;5,53;5,14;5,41;5,35939;26865900
5,81;6,42;5,67;5,81;5,755649;60850400
6,09;6,16;5,58;5,76;5,706116;37905400
5,95;6,18;5,86;6,14;6,082561;38784400
6,66;6,7;6,31;6,32;6,260878;41449700
6,4;6,94;6,4;6,81;6,746294;31724500
7,09;7,46;6,58;6,72;6,657135;53349500
6,68;6,73;6,45;6,71;6,647229;29172000
6,76;6,88;6,55;6,68;6,617509;24979900
6,29;6,46;6,19;6,32;6,260878;25391400
6,4;6,4;6,05;6,14;6,082561;20187500
6,27;6,46;6,09;6,45;6,389661;36342800
6,03;6,46;5,99;6,27;6,211345;50129100
6;6,11;5,91;6,05;5,993403;36410800
6,19;6,38;6,18;6,34;6,280691;32270900
6,48;6,6;6,25;6,31;6,250971;30422000
6,05;6,12;5,51;5,66;5,607051;53726800
5,83;6;5,69;6;5,943871;23890600
6,27;6,58;6,15;6,56;6,498632;40582100
6,76;7,22;6,76;7,14;7,073206;38428500
7;7,1;6,83;6,91;6,845358;32703300
6,75;6,75;6,38;6,57;6,508539;20857400
6,45;6,62;6,4;6,54;6,478819;19880800
6,81;6,97;6,67;6,73;6,667042;27466300
6,59;6,68;6,31;6,33;6,270784;25828000
6,28;6,47;6,23;6,33;6,270784;32219500
6,5;6,88;6,48;6,86;6,795826;26813300
